"Observed Journey ID","Observed Journey","Canonical Journey ID","Canonical Journey","Classification","Variation Dimensions","Evidence","Confidence","Notes","Implementation Maturity"
"15.4","Keep imported assets inert","CJ12","transfer_and_adopt_governed_assets","specialization","artifact=templates environments extensions; standing=imported inactive; authority effect=none until adoption",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.4; .agents/specs/spec-full.md §10.9 Completion rules; crates/sea-forge-cell/tests/conformance_m6.rs imported-template-not-instantiable-pre-adopt test","high","Inert admission separates transport from local authority and usability.","exercised"
"15.5","Review provenance and compatibility","CJ12","transfer_and_adopt_governed_assets","specialization","subject=source cell versions hashes dependencies authority surfaces; next decision=adopt or reject; assurance=compatibility",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.5; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method federation.verify_import; crates/sea-forge-cell/src/bundle.rs read_manifest","high","Manifest inspection is implemented at the kernel/CLI boundary; the cataloged Workbench federation surface remains preview-only.","implemented"
"15.6","Adopt an imported asset through governance","CJ12","transfer_and_adopt_governed_assets","specialization","state transition=verified inert to locally usable; authority=adoption action; artifact=template or environment with provenance",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.6; .agents/specs/spec-full.md §10.9 Completion rules; crates/sea-forge-cell/tests/conformance_m6.rs; crates/sea-forge-cli/tests/task17_closeout.rs","high","Adoption is the governed completion transition that deliberately grants local usability.","exercised"
"15.7","Reject unsafe or incompatible imports","CJ12","transfer_and_adopt_governed_assets","variant","authority outcome=reject; failure=tampered incompatible oversized invalid; side effects=existing cell unchanged",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.7; .agents/specs/spec-full.md §14 Failure Model; crates/sea-forge-cell/tests/conformance_m6.rs; crates/sea-forge-cell/tests/bundle_size_bound.rs","high","Atomic rejection is the failure variant of transfer and proves bounded impact.","exercised"
"16.1","Validate or rebuild the self-model","CJ01","establish_trusted_cell_context","composition","initiating condition=release or substrate change; artifact=self-model snapshot; recovery=validate rebuild reprobe",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.1; .agents/specs/spec-adlc-thoth-minimum.md §10.1 Self-model integrity; crates/sea-forge-self-model/tests/conformance_m9.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6b","high","Maintenance composes context re-establishment with recovery; the resulting trusted snapshot remains CJ01.","evidenced"
"16.2","Preserve stale but verifiable snapshots","CJ01","establish_trusted_cell_context","variant","initiating condition=rebuild failure; artifact=prior snapshot; assurance=stale but verifiable; side effects=no replacement",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.2; .agents/specs/spec-adlc-thoth-minimum.md §14 Failure Model and Recovery; crates/sea-forge-server/src/sfwp/readiness.rs; crates/sea-forge-server/src/sfwp/readiness.rs test a_stale_snapshot_never_reports_readiness_as_success","high","Stale preservation is the fail-safe context variant and never masquerades as current readiness.","exercised"
"16.3","Manage extension and endpoint lifecycle","CJ01","establish_trusted_cell_context","composition","subject=extensions and endpoints; lifecycle=register validate activate disable upgrade deprecate quarantine; snapshot=in-flight preserved",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.3; .agents/specs/spec-full.md §7.0b Extension and projection ABI; .agents/specs/spec-agent-orchestration.md §7.1 AgentEndpoint; crates/sea-forge-server/src/sfwp/assets.rs","medium","Registry and endpoint standing are implemented, but the complete lifecycle command set is only cataloged.","implemented"
"16.4","Rebuild derived stores independently","CJ10","reuse_demonstrated_knowledge_and_capability","composition","artifact=memory capability projection self-model views; source=authoritative records; recovery=independent rebuild",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.4; .agents/specs/spec-full.md §10.5 Governed semantic memory; crates/sea-forge-capability/tests/conformance_m4a.rs; crates/sea-forge-capability/tests/conformance_m4b.rs; crates/sea-forge-domainforge/tests/projection.rs","high","Maintenance composes CJ10 reuse with repair; each derived view is rebuilt without altering governance truth.","exercised"
"16.5","Inspect version skew and compatibility","CJ01","establish_trusted_cell_context","specialization","subject=record model template environment adapter extension versions; assurance=affected operations localized; next decision=upgrade or hold",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.5; .agents/specs/spec-full.md §7.0c Migration and compatibility; crates/sea-forge-core/tests/version_skew.rs; crates/sea-forge-server/src/sfwp/assets.rs","high","Compatibility inspection determines whether the current cell context is trustworthy for a specific operation.","exercised"
"16.6","Protect in-flight work during change","CJ08","monitor_intervene_and_recover","composition","initiating condition=reload or upgrade; artifact=committed plans criteria hashes snapshots history; recovery=continue under launch snapshot",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.6; .agents/specs/spec-full.md §8.4 Dynamic reload; crates/sea-forge-server/tests/conformance_lifecycle.rs; crates/sea-forge-server/tests/conformance_m13.rs","high","Operational change composes trusted snapshots with CJ08 continuity so active work cannot change meaning mid-run.","exercised"
"16.7","Find unresolved operational debt","CJ08","monitor_intervene_and_recover","specialization","subject=stale failed degraded unsettled expired quarantined blocked pending; interface=maintenance queue; next decision=bounded repair",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.7; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml methods maintenance.list_debt and maintenance.get; workbench/apps/desktop/src/router.tsx route /admin; docs/execution/REPOSITORY_TRUTH.md §7 Frontend state","high","The consolidated debt journey is specified, but /admin is preview-only and no maintenance method is implemented.","specified"
"16.8","See honest assurance labels","CJ09","evaluate_settle_and_audit_outcomes","composition","assurance=local digest local tamper-evident witnessed degraded pending stale unsupported; evidence=requirements=must hold; actor=operator or auditor",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §16.8; .agents/specs/spec-full.md §7.0c Assurance claim and scope; crates/sea-forge-server/src/sfwp/readiness.rs; crates/sea-forge-server/src/sfwp/thoth.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6b","high","Assurance labels compose context display with audit evaluation because every label must resolve to proof.","evidenced"
